"","var_id","code","original_1","original_2","original_3","code_description","shortname"
"245","line_13",520,9,3,NA,"Complex meter and one beat","ComplexMeterAndOneBeat"
"246","line_13",8200,13,3,NA,"Parlando rubato and one beat","ParlandoRubatoAndOneBeat"
"247","line_14",512,9,NA,NA,"Simple polyrhythm. All of the parts basically conform to a single pulse. However, there are moments when one of the parts will temporarily deviate from the basic pulse to create a new pulse in conflict with it. The conflict may last a moment or it may resolve itself only after several “measures,” as in much classical Indian music. In any case, this rhythmic conflict must be only temporary.","SimplePolyrhythm"
"248","line_14",2,1,NA,NA,"No orchestra or non-patterned.","NoOrchestra"
"249","line_14",8,3,NA,NA,"Rhythmic unison. All instruments move together with little or no rhythmic independence. A group may play in parts and still be in rhythmic unison.","RhythmicUnison"
"250","line_14",32,5,NA,NA,"Rhythmic heterophony. The instruments tend to follow the same rhythmic pattern, but one or more instruments consistently deviates from the others in some way. Some may be out of phase with and trail the others. Some may embellish the melody in an individual manner, or use more or less rubato (divergence from the strict beat) than others.","RhythmicHeterophony"
"251","line_14",128,7,NA,NA,"Accompanying rhythm. The instrumental group is divided into two or more parts, one of which accompanies the other. The accompanying part has independent rhythmic patterns, but these are subordinate to the main part. They may be (1) less active rhythmically, (2) less active melodically, (3) softer, or (4) they may occur intermittently. If the accompanying part is equal in importance and rhythmic activity to the main part, so that the accompaniment becomes, in effect, another melody, consider coding 13 (Rc).","AccompanyingRhythm"
"252","line_14",130,7,1,NA,"Accompanying rhythm and no orchestra","AccompanyingRhythmAndNoOrchestra"
"253","line_14",2048,11,NA,NA,"Complex polyrhythm. Two or more conflicting pulses are heard simultaneously and more or less continually throughout the song.","ComplexPolyrhythm"
"254","line_14",2560,11,9,NA,"Complex polyrhythm and simple polyrhythm","ComplexPolyrhythmAndSimplePolyrhythm"
"255","line_14",10240,13,11,NA,"Rhythmic counterpoint and complex polyrhythm","RhythmicCounterpointAndComplexPolyrhythm"
"256","line_14",8192,13,NA,NA,"Rhythmic counterpoint. Two or more rhythmic patterns, equal to and distinct from one another, occur simultaneously within the same rhythmic framework but without conflict of pulse. A fugue is an example of this quality, which is also vigorous in folk and indigenous music. The principal feature to watch for is the presence of two or more independent parts active throughout the piece.","RhythmicCounterpoint"
"257","line_14",160,7,5,NA,"Accompanying rhythm and rhythmic heterophony","AccompanyingRhythmAndRhythmicHeterophony"
"258","line_14",136,7,3,NA,"Accompanying rhythm and rhythmic unison","AccompanyingRhythmAndRhythmicUnison"
"259","line_14",10,3,1,NA,"Rhythmic unison and no orchestra","RhythmicUnisonAndNoOrchestra"
"260","line_14",8704,13,9,NA,"Rhythmic counterpoint and simple polyrhythm","RhythmicCounterpointAndSimplePolyrhythm"
"261","line_14",40,5,3,NA,"Rhythmic heterophony and rhythmic unison","RhythmicHeterophonyAndRhythmicUnison"
"262","line_14",0,0,NA,NA,"No Reading","No Reading"
"263","line_14",34,5,1,NA,"Rhythmic heterophony and no orchestra","RhythmicHeterophonyAndNoOrchestra"
"264","line_14",2176,11,7,NA,"Complex polyrhythm and accompanying rhythm","ComplexPolyrhythmAndAccompanyingRhythm"
"265","line_14",2056,11,3,NA,"Complex polyrhythm and rhythmic unison","ComplexPolyrhythmAndRhythmicUnison"
"266","line_14",8200,13,3,NA,"Rhythmic counterpoint and rhythmic unison","RhythmicCounterpointAndRhythmicUnison"
"267","line_15",512,9,NA,NA,"Undulating. Most phrases have a wave-like shape. They move up and down through a number of peaks and valleys of varying heights. Also coded here are those rare cases in which the shape of the phrase is predominantly ascending.","Undulating"
"268","line_15",2,1,NA,NA,"Arched. An arched phrase begins at a certain point, rises in pitch, and then descends. Code at this point only if arched phrases occur prominently, not if the melody as a whole is arched.","Arched"
"269","line_15",8192,13,NA,NA,"Descending. Most phrases descend gradually or abruptly.","Descending"
"270","line_15",32,5,NA,NA,"Terraced. The entire melody is characterized by a long descent in pitch, interrupted by periods of leveling off and, in some cases, by incidental rises. The melody begins at a relatively high pitch, moves downward through a phrase or two, and then levels off. The next portion begins at the same pitch level or slightly above it, descending to an even lower point, where it once again levels off. This cascading descent proceeds throughout the song, so that the melody ends on or near its lowest point. A sketch of this kind of melody would resemble a terraced field or a tiled roof.","Terraced"
"271","line_15",8704,13,9,NA,"Descending and undulating","DescendingAndUndulating"
"272","line_15",0,0,NA,NA,"No Reading","No Reading"
"273","line_15",34,5,1,NA,"Terraced and arched","TerracedAndArched"
"274","line_16",2,1,NA,NA,"Through-composed. A song that has no recognizable litany or strophic pattern, but instead is made up of a series of phrase groups in which consistently repeated sections seldom if ever occur. Not every section of the piece need consist of completely new material; certain melodic motifs may recur throughout, but not in a regularly occurring order. 1 is common in much Asian music as well as in Western art music.","ThroughComposed"
"275","line_16",8,3,NA,NA,"Complex strophe with little or no variation. 3 is similar to, but more complex than, 6. More is contained within the form than the regular repetition of three to eight phrases.","ComplexStropheLittleVariation"
"276","line_16",4096,12,NA,NA,"Simple litany. One or two phrases repeated over and over again in the same order with little or no variation: A A A A or AB AB AB AB. Code here even when such a form is preceded by one or two phrases of introduction.","SimpleLitany"
"277","line_16",1024,10,NA,NA,"Simple litany with a high degree of variation in each repeat.","SimpleLitanyHighVariation"
"278","line_16",128,7,NA,NA,"Complex litany with a high degree of variation in each section.","ComplexLitanyHighVariation"
"279","line_16",2048,11,NA,NA,"Simple litany with a moderate amount of variation in each repeat.","SimpleLitanyModerateVariation"
"280","line_16",64,6,NA,NA,"Simple strophe with little or no variation. A series of three to eight (but not more than eight) phrases which are repeated, phrase by phrase, over and over, with no insertions of new material and no omissions or changes of order.","SimpleStropheLittleVariation"
